ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB
5003,-1123,11019,12794,13312,13559,9196,0.83,0.94
5004,-1134,11249,12643,13565,13397,9194,0.83,0.94
5004,-1123,11199,12806,13567,13574,9182,0.83,0.94
5005,-1146,11115,12812,13508,13577,9170,0.82,0.94
5006,-1159,11156,12833,13512,13599,9160,0.83,0.94
5006,-1160,11179,12804,13542,13568,9160,0.83,0.94
5006,-1135,11150,12798,13502,13567,9170,0.83,0.94
5007,-1137,11217,12583,13517,13320,9182,0.83,0.94
5008,-1144,11235,12647,13559,13389,9194,0.83,0.94
5008,-1121,10984,12265,13254,12985,9197,0.83,0.94
5008,-1133,11157,12888,13549,13653,9194,0.82,0.94
5009,-1111,11208,12639,13509,13384,9183,0.83,0.94
5010,-1125,11162,12812,13501,13584,9171,0.83,0.94
5010,-1137,11224,12771,13551,13524,9162,0.83,0.94
5011,-1139,11136,12851,13474,13609,9162,0.83,0.94
5011,-1151,11166,12774,13537,13531,9165,0.82,0.94
5012,-1118,11210,12770,13516,13528,9171,0.83,0.94
5013,-1156,11215,12797,13557,13558,9176,0.83,0.94
5013,-1130,11188,12766,13546,13516,9178,0.83,0.94
5014,-1137,11190,12828,13536,13588,9178,0.83,0.94
5015,-1159,11190,12629,13487,13363,9178,0.83,0.95
5015,-1153,11117,12327,13518,13038,9179,0.82,0.95
5016,-1149,11052,12681,13320,13422,9179,0.83,0.94
5017,-1151,11210,12765,13556,13517,9178,0.83,0.94
5017,-1136,11188,12801,13535,13554,9180,0.83,0.94
5018,-1142,11185,12827,13530,13578,9185,0.83,0.94
5018,-1154,11136,12828,13536,13588,9190,0.82,0.94
5019,-1125,11208,12802,13526,13563,9193,0.83,0.94
5020,-1160,11182,12815,13528,13572,9193,0.83,0.94
5021,-1142,11252,12767,13561,13512,9191,0.83,0.94
5022,-1149,11290,12555,13615,13280,9189,0.83,0.95
5022,-1124,11242,12738,13548,13488,9187,0.83,0.94
5024,-1134,11076,12836,13439,13597,9187,0.82,0.94
5024,-1161,11239,12594,13542,13306,9186,0.83,0.95
5025,-1147,11157,12864,13543,13620,9184,0.82,0.94
5026,-1147,11212,12855,13561,13604,9180,0.83,0.94
5026,-1159,11214,12790,13558,13536,9178,0.83,0.94
5028,-1166,11127,12827,13501,13568,9178,0.82,0.95
5028,-1152,11129,12918,13520,13673,9185,0.82,0.94
5029,-1159,11170,12826,13530,13573,9194,0.83,0.94
5030,-1146,11254,12632,13574,13351,9202,0.83,0.95
5031,-1147,11216,12645,13523,13374,9204,0.83,0.95
5032,-1151,11239,12608,13551,13324,9203,0.83,0.95
5032,-1158,11223,12632,13534,13350,9201,0.83,0.95
5033,-1143,11230,12840,13556,13583,9198,0.83,0.95
5034,-1155,11132,12899,13538,13649,9196,0.82,0.95
5035,-1162,11202,12810,13549,13545,9196,0.83,0.95
5036,-1165,11231,12594,13547,13305,9192,0.83,0.95
5037,-1162,11230,12813,13571,13546,9187,0.83,0.95
5038,-1155,11174,12877,13512,13618,9182,0.83,0.95
5039,-1163,11256,12807,13575,13534,9180,0.83,0.95
5040,-1146,11241,12648,13564,13369,9182,0.83,0.95
5041,-1163,11162,12833,13504,13565,9188,0.83,0.95
5041,-1169,11262,12716,13589,13428,9195,0.83,0.95
5043,-1170,11145,12840,13519,13574,9200,0.82,0.95
5044,-1161,11255,12696,13576,13409,9200,0.83,0.95
5045,-1171,11240,12621,13562,13322,9201,0.83,0.95
5045,-1174,11142,12863,13522,13592,9204,0.82,0.95
5047,-1174,11160,12853,13515,13572,9206,0.83,0.95
5048,-1177,11237,12778,13585,13489,9207,0.83,0.95
5049,-1182,11215,12765,13525,13474,9207,0.83,0.95
5050,-1177,11194,12729,13519,13438,9204,0.83,0.95
5051,-1176,11152,12764,13488,13491,9201,0.83,0.95
5052,-1191,11208,12825,13536,13545,9198,0.83,0.95
5053,-1194,11197,12829,13554,13542,9198,0.83,0.95
5054,-1183,11239,12831,13573,13548,9198,0.83,0.95
5055,-1186,11165,12853,13536,13569,9200,0.82,0.95
5056,-1190,11065,12865,13400,13572,9202,0.83,0.95
5057,-1171,11252,12888,13613,13599,9203,0.83,0.95
5058,-1196,11212,12676,13546,13361,9203,0.83,0.95
5059,-1187,11224,12759,13566,13456,9210,0.83,0.95
5059,-1183,11175,12693,13505,13399,9216,0.83,0.95
5061,-1199,11222,12775,13574,13473,9223,0.83,0.95
5061,-1196,11143,12517,13465,13188,9223,0.83,0.95
5063,-1222,11147,12858,13537,13560,9220,0.82,0.95
5064,-1199,11265,12806,13615,13510,9214,0.83,0.95
5064,-1199,11174,12827,13527,13532,9208,0.83,0.95
5065,-1238,11122,12814,13516,13517,9204,0.82,0.95
5066,-1222,11082,12907,13525,13615,9204,0.82,0.95
5067,-1201,11175,12869,13537,13573,9210,0.83,0.95
5068,-1215,11204,12723,13555,13404,9219,0.83,0.95
5069,-1222,11007,12516,13473,13189,9227,0.82,0.95
5070,-1218,11057,12711,13381,13394,9229,0.83,0.95
5071,-1217,11172,12645,13525,13312,9227,0.83,0.95
5072,-1217,11107,12840,13512,13533,9221,0.82,0.95
5074,-1225,11143,12895,13568,13601,9215,0.82,0.95
5074,-1217,11168,12837,13547,13522,9210,0.82,0.95
5075,-1207,11098,12926,13501,13627,9210,0.82,0.95
5076,-1224,11207,12771,13572,13443,9210,0.83,0.95
5077,-1225,11101,12881,13496,13576,9210,0.82,0.95
5078,-1230,11165,12930,13592,13627,9210,0.82,0.95
5079,-1221,11136,12535,13501,13205,9210,0.82,0.95
5080,-1235,10989,12684,13308,13354,9211,0.83,0.95
5081,-1240,11129,12761,13482,13433,9215,0.83,0.95
5082,-1244,11113,12952,13566,13644,9219,0.82,0.95
5083,-1236,11149,12895,13546,13587,9222,0.82,0.95
5084,-1235,11150,12901,13570,13587,9222,0.82,0.95
5085,-1241,11202,12788,13578,13462,9221,0.83,0.95
5086,-1262,11206,12630,13588,13289,9219,0.82,0.95
5087,-1258,11200,12706,13578,13364,9217,0.82,0.95
5088,-1277,11103,12934,13598,13620,9216,0.82,0.95
5089,-1280,11038,12579,13532,13223,9215,0.82,0.95
5090,-1232,11151,12736,13526,13402,9223,0.82,0.95
5091,-1257,11180,12756,13555,13418,9230,0.82,0.95
5092,-1247,11147,12846,13580,13518,9237,0.82,0.95
5093,-1267,11104,12902,13506,13577,9237,0.82,0.95
5094,-1258,11136,12909,13543,13589,9237,0.82,0.95
5094,-1262,11180,12727,13570,13387,9235,0.82,0.95
5096,-1292,11108,12906,13562,13575,9234,0.82,0.95
5097,-1256,11146,12844,13550,13508,9233,0.82,0.95
5098,-1287,10951,13014,13421,13695,9233,0.82,0.95
5099,-1282,11174,12696,13580,13348,9239,0.82,0.95
5100,-1267,10969,12808,13321,13468,9247,0.82,0.95
5101,-1255,11167,12695,13565,13339,9255,0.82,0.95
5102,-1276,11090,12955,13536,13634,9256,0.82,0.95
5102,-1286,11075,12953,13558,13624,9254,0.82,0.95
5103,-1308,11135,12898,13565,13561,9252,0.82,0.95
5104,-1272,11110,12851,13536,13510,9248,0.82,0.95
5105,-1283,11095,12738,13484,13387,9247,0.82,0.95
5107,-1267,11145,12937,13546,13604,9247,0.82,0.95
5108,-1282,11036,12993,13498,13670,9247,0.82,0.95
5109,-1274,11017,12831,13462,13492,9248,0.82,0.95
5110,-1281,11035,12937,13494,13608,9249,0.82,0.95
5110,-1297,11177,12919,13628,13587,9250,0.82,0.95
5111,-1284,11138,12872,13547,13542,9250,0.82,0.95
5112,-1296,11067,12868,13522,13529,9251,0.82,0.95
5113,-1283,11039,12928,13532,13587,9252,0.82,0.95
5115,-1321,11054,12956,13542,13624,9253,0.82,0.95
5115,-1303,11100,12783,13503,13428,9253,0.82,0.95
