ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FBprime,Fbprime/NB,NSCprime
4593,-1490,10144,12065,12339,12385,2917,0.82,0.97,10080.5,0.813928139,60.71861122
4643,-1515,10147,12109,12347,12432,4108,0.82,0.97,10138.6,0.815524453,44.75546976
4689,-1482,10131,12144,12316,12464,5597,0.82,0.97,10183.2,0.817008986,29.91014121
4724,-1475,10168,12138,12374,12455,7086,0.82,0.97,10174.5,0.816900843,30.99156965
4755,-1484,10160,12243,12358,12547,7384,0.82,0.98,10307.1,0.821479238,-14.79238065
4783,-1490,10105,12229,12246,12508,7384,0.83,0.98,10281.4,0.821985929,80.14070995
4807,-1533,10183,12207,12397,12473,7823,0.82,0.98,10248.9,0.821686844,-16.86843582
4829,-1515,10228,12191,12411,12444,8262,0.82,0.98,10224.2,0.821616843,-16.16843459
4848,-1535,10240,12130,12407,12365,8700,0.83,0.98,10139.5,0.820016175,99.83825313
4865,-1544,10199,12123,12369,12365,8700,0.82,0.98,10132.5,0.819450061,5.499393449
4881,-1538,10088,11816,12233,12056,8717,0.82,0.98,9732.8,0.80729927,127.0072993
4894,-1531,10054,12159,12176,12398,8806,0.83,0.98,10178.4,0.820971124,90.28875625
4905,-1553,10155,12220,12345,12476,8894,0.82,0.98,10262.8,0.822603399,-26.03398525
4915,-1502,10248,12259,12413,12524,8965,0.83,0.98,10316.2,0.823714468,62.85531779
4923,-1510,10227,12153,12416,12400,8965,0.82,0.98,10173,0.820403226,-4.032258065
4931,-1502,10175,12256,12355,12524,8972,0.82,0.98,10313.2,0.823474928,-34.74928138
4938,-1497,10261,12093,12383,12346,9007,0.83,0.98,10096.8,0.817819537,121.8046331
4944,-1508,10266,12218,12410,12480,9042,0.83,0.98,10262,0.822275641,77.24358974
4950,-1488,10185,12250,12386,12523,9071,0.82,0.98,10306.9,0.823037611,-30.37610796
4954,-1476,10321,12220,12427,12477,9071,0.83,0.98,10263.1,0.822561513,74.38486816
4959,-1497,10223,12255,12404,12522,9077,0.82,0.98,10311.6,0.823478678,-34.78677528
4963,-1481,10223,12141,12371,12396,9091,0.83,0.98,10159.8,0.819603098,103.9690223
4965,-1469,10241,12153,12386,12415,9106,0.83,0.98,10177.5,0.819774466,102.2553363
4968,-1472,10294,12030,12392,12285,9114,0.83,0.98,10015.5,0.815262515,147.3748474
4971,-1463,10279,12288,12411,12551,9114,0.83,0.98,10353.3,0.824898414,51.01585531
4973,-1472,10242,12254,12410,12523,9116,0.83,0.98,10310.9,0.823357023,66.42976922
4975,-1470,10234,12126,12314,12389,9120,0.83,0.98,10142.7,0.818685931,113.1406893
4976,-1475,10189,12231,12348,12499,9124,0.83,0.98,10280.7,0.822521802,74.78198256
4978,-1480,10112,12326,12315,12590,9127,0.82,0.98,10403,0.826290707,-62.9070691
4979,-1484,10161,12139,12352,12399,9126,0.82,0.98,10158.7,0.819316074,6.839261231
4981,-1482,10094,11937,12288,12189,9131,0.82,0.98,9893.7,0.811690869,83.09131184
4981,-1469,10226,12240,12382,12508,9139,0.83,0.98,10292.4,0.822865366,71.34633834
4982,-1461,10291,12238,12414,12501,9146,0.83,0.98,10288.3,0.82299816,70.01839853
4983,-1457,10256,12232,12351,12500,9149,0.83,0.98,10282,0.82256,74.4
4984,-1466,10164,12247,12285,12512,9149,0.83,0.98,10300.6,0.823257673,67.42327366
4984,-1485,10300,12167,12426,12429,9155,0.83,0.98,10195.7,0.820315391,96.84608577
4985,-1457,10286,12272,12387,12539,9162,0.83,0.98,10333.7,0.824124731,58.7526916
4986,-1466,10367,12051,12458,12302,9170,0.83,0.98,10041.6,0.816257519,137.424809
4986,-1458,10226,12317,12405,12591,9172,0.82,0.98,10394.3,0.825534112,-55.34111667
4987,-1475,10299,12238,12404,12505,9173,0.83,0.98,10289.5,0.822830868,71.69132347
4987,-1477,10219,12274,12375,12535,9170,0.83,0.98,10334.5,0.824451536,55.484643
4987,-1463,10276,12209,12416,12474,9165,0.83,0.98,10251.2,0.821805355,81.94644861
4987,-1450,10289,12281,12413,12541,9161,0.83,0.98,10343.3,0.824758791,52.41208835
4987,-1461,10361,12188,12455,12448,9160,0.83,0.98,10222.4,0.821208226,87.91773779
4988,-1477,10269,12318,12418,12581,9160,0.83,0.98,10392.3,0.826031317,39.68682935
4989,-1460,10339,12238,12442,12505,9162,0.83,0.98,10289.5,0.822830868,71.69132347
4989,-1475,10292,12307,12409,12572,9164,0.83,0.98,10378.6,0.82553293,44.67069679
4988,-1460,10265,12278,12395,12538,9166,0.83,0.98,10339.4,0.824645079,53.5492104
4989,-1471,10265,12316,12442,12584,9165,0.83,0.98,10391.2,0.82574698,42.53019708
4989,-1455,10358,12117,12448,12375,9165,0.83,0.98,10129.5,0.818545455,114.5454545
4989,-1451,10284,12284,12398,12543,9163,0.83,0.98,10346.9,0.824914295,50.85705174
4989,-1463,10332,12266,12433,12536,9161,0.83,0.98,10326.8,0.823771538,62.28462029
4989,-1470,10359,11978,12448,12229,9158,0.83,0.98,9946.7,0.813369859,166.3014147
4989,-1474,10341,11994,12424,12247,9159,0.83,0.98,9968.1,0.813921777,160.7822324
4989,-1455,10221,12249,12349,12515,9159,0.83,0.98,10303.5,0.82329205,67.07950459
4990,-1461,10279,12223,12415,12487,9163,0.83,0.98,10269.1,0.822383279,76.1672139
4990,-1457,10232,12290,12379,12550,9166,0.83,0.98,10355,0.825099602,49.00398406
4990,-1471,10247,12267,12402,12537,9170,0.83,0.98,10328.1,0.823809524,61.9047619
4990,-1457,10238,12290,12355,12557,9170,0.83,0.98,10357.1,0.824806881,51.93119376
4990,-1458,10356,12161,12449,12427,9171,0.83,0.98,10189.1,0.819916311,100.8368874
4989,-1472,10299,12260,12415,12516,9171,0.83,0.98,10314.8,0.824129115,58.70885267
4990,-1467,10272,12224,12392,12483,9171,0.83,0.98,10268.9,0.822630778,73.69222142
4990,-1459,10209,12297,12355,12566,9171,0.83,0.98,10366.8,0.824988063,50.11936973
4990,-1452,10340,12133,12428,12390,9171,0.83,0.98,10150,0.81920904,107.9096045
4990,-1442,10328,12252,12428,12515,9167,0.83,0.98,10306.5,0.823531762,64.68238114
4990,-1486,10223,12267,12375,12527,9158,0.83,0.98,10325.1,0.824227668,57.72331763
4990,-1465,10203,12303,12376,12569,9148,0.82,0.98,10373.7,0.825340123,-53.40122524
4991,-1462,10280,12299,12424,12567,9142,0.83,0.98,10369.1,0.825105435,48.94565131
4990,-1459,10212,12166,12344,12426,9142,0.83,0.98,10193.8,0.820360534,96.39465637
4991,-1462,10288,11960,12364,12210,9144,0.83,0.98,9923,0.812694513,173.0548731
4990,-1461,10339,12005,12423,12258,9147,0.83,0.98,9982.4,0.81435797,156.4202969
4990,-1460,10346,12116,12431,12370,9151,0.83,0.98,10127,0.818674212,113.257882
4991,-1463,10286,12296,12417,12556,9154,0.83,0.98,10362.8,0.825326537,46.73462886
4991,-1464,10270,12169,12370,12428,9154,0.83,0.98,10197.4,0.820518185,94.81815256
4991,-1456,10226,12255,12351,12514,9156,0.83,0.98,10309.2,0.823813329,61.86670929
4991,-1485,10304,12104,12388,12363,9160,0.83,0.98,10112.9,0.81799725,120.0275014
4991,-1460,10290,12284,12450,12544,9164,0.83,0.98,10347.2,0.824872449,51.2755102
4991,-1455,10282,12275,12402,12540,9166,0.83,0.98,10337,0.824322169,56.77830941
4991,-1482,10206,12034,12399,12282,9166,0.82,0.98,10018.6,0.815714053,42.85946914
4991,-1473,10326,12219,12453,12479,9165,0.83,0.98,10262.7,0.822397628,76.02371985
4991,-1462,10285,12266,12404,12532,9164,0.83,0.98,10325.6,0.823938717,60.61283115
4991,-1488,10258,12242,12398,12503,9163,0.83,0.98,10292.9,0.823234424,67.65576262
4991,-1471,10203,12324,12350,12589,9163,0.83,0.98,10400.7,0.826173644,38.26356343
4992,-1464,10338,12135,12430,12388,9163,0.83,0.98,10151.4,0.819454311,105.4568938
4991,-1465,10240,12251,12386,12519,9164,0.83,0.98,10306.7,0.823284607,67.15392603
