ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,Fbprime,Fbprime/NB,NSCprime
5790,-4480,7388,12446,10103,10721,9707,0.73,1.16,7614.0635,0.710200867,197.9913254
5683,-4269,7394,12473,10126,10724,9707,0.73,1.16,7641.194,0.712532078,174.6792242
5594,-4358,7346,12130,10108,10380,9700,0.73,1.17,7283.23,0.701659923,283.4007707
5517,-4448,7364,12314,10132,10473,9665,0.73,1.18,7471.2755,0.713384465,166.1553519
5450,-4593,7350,12294,10169,10413,9631,0.72,1.18,7448.6655,0.715323682,46.76318064
5392,-4582,7118,12516,9858,10641,9603,0.72,1.18,7680.5835,0.721791514,-17.91513955
5341,-4461,7421,12294,10115,10489,9603,0.73,1.17,7451.9715,0.710455859,195.4414148
5299,-4427,7199,12114,9929,10349,9583,0.73,1.17,7265.8815,0.702085371,279.1462943
5261,-4423,7431,12327,10141,10521,9535,0.73,1.17,7486.3635,0.711563872,184.3612774
5228,-4490,7254,12399,10035,10568,9488,0.72,1.17,7560.408,0.715405753,45.94246783
5198,-4536,7215,12503,10068,10631,9459,0.72,1.18,7667.1485,0.721206707,-12.06706801
5173,-4585,7238,12471,10079,10594,9459,0.72,1.18,7633.539,0.720553049,-5.530488956
5150,-4617,7234,12472,10089,10585,9444,0.72,1.18,7634.1475,0.721223193,-12.23193198
5129,-4611,7298,12239,10107,10384,9405,0.72,1.18,7392.404,0.711903313,80.96687211
5112,-4582,7259,12508,10068,10634,9367,0.72,1.18,7672.279,0.721485706,-14.85706225
5097,-4596,7320,12221,10109,10376,9344,0.72,1.18,7374.056,0.710683886,93.16114109
5085,-4558,7275,12398,10105,10552,9344,0.72,1.17,7558.712,0.716329795,36.70204701
5073,-4538,7315,12317,10081,10487,9331,0.73,1.17,7474.8845,0.712776247,172.2375322
5062,-4511,7329,12349,10111,10519,9308,0.72,1.17,7508.2765,0.713782346,62.17653769
5054,-4524,7287,12440,10098,10607,9286,0.72,1.17,7603.1045,0.716800651,31.99349486
5045,-4486,7330,12290,10089,10487,9277,0.73,1.17,7447.8845,0.710201631,197.9836941
5038,-4468,7344,12212,10070,10425,9277,0.73,1.17,7367.1875,0.706684652,233.1534772
5031,-4477,7327,12281,10081,10481,9266,0.73,1.17,7438.6235,0.709724597,202.7540311
5026,-4492,7370,12161,10091,10372,9247,0.73,1.17,7313.882,0.705156383,248.4361743
5021,-4468,7392,12271,10143,10474,9229,0.73,1.17,7428.319,0.709215104,207.8489593
5017,-4468,7382,12201,10103,10415,9222,0.73,1.17,7355.7525,0.706265242,237.3475756
5014,-4445,7394,12277,10132,10483,9221,0.73,1.17,7434.7105,0.709215921,207.8407899
5011,-4455,7392,12101,10130,10334,9216,0.73,1.17,7252.229,0.701783337,282.1666344
5008,-4463,7312,12352,10056,10550,9210,0.73,1.17,7512.625,0.712097156,179.028436
5006,-4443,7332,12244,10048,10462,9205,0.73,1.17,7400.797,0.707397916,226.0208373
5003,-4449,7336,12396,10086,10589,9203,0.73,1.17,7558.3215,0.713789924,162.1007649
5001,-4479,7310,12369,10090,10568,9203,0.72,1.17,7530.408,0.712566995,74.33005299
5000,-4448,7366,12082,10082,10319,9201,0.73,1.17,7232.5765,0.700898973,291.0102723
4998,-4449,7360,12162,10072,10381,9199,0.73,1.17,7315.2735,0.704679077,253.2092284
4996,-4446,7359,12091,10086,10321,9197,0.73,1.17,7241.6635,0.701643591,283.5640926
4996,-4461,7357,12368,10114,10570,9196,0.73,1.17,7529.495,0.71234579,176.5421003
4995,-4466,7300,12431,10091,10621,9196,0.72,1.17,7594.7135,0.715065766,49.34234065
4995,-4452,7395,12194,10126,10409,9187,0.73,1.17,7348.4915,0.705974781,240.2521856
4993,-4444,7417,12383,10192,10587,9177,0.73,1.17,7545.2345,0.712688628,173.1137244
4992,-4455,7387,12156,10118,10385,9166,0.73,1.17,7309.4475,0.703846654,261.5334617
4992,-4455,7232,12179,9906,10400,9166,0.73,1.17,7333.1,0.705105769,248.9423077
4992,-4463,7227,12302,10019,10513,9166,0.72,1.17,7461.0155,0.709694236,103.0576429
4991,-4455,7286,12405,10065,10602,9164,0.72,1.17,7567.887,0.713816921,61.83078664
4991,-4477,7293,12427,10101,10618,9163,0.72,1.17,7590.583,0.714878791,51.21209267
4990,-4453,7350,12050,10070,10303,9161,0.73,1.17,7199.8805,0.698813986,311.8601378
4991,-4440,7347,12314,10077,10525,9161,0.73,1.17,7473.5375,0.710074822,199.2517815
4990,-4444,7351,12148,10068,10369,9161,0.73,1.17,7300.7515,0.704094079,259.059215
4990,-4451,7205,12269,9882,10493,9165,0.73,1.17,7427.1455,0.70781907,221.8093014
4989,-4435,7360,12323,10077,10536,9169,0.73,1.17,7483.016,0.710233106,197.6689446
4989,-4448,7191,12416,9913,10611,9172,0.73,1.17,7579.2785,0.714285034,157.149656
4989,-4446,7377,12179,10094,10401,9172,0.73,1.17,7333.1435,0.705042159,249.5784059
4990,-4445,7367,12273,10078,10489,9173,0.73,1.17,7430.9715,0.708453761,215.4623892
4988,-4445,7352,12331,10081,10535,9174,0.73,1.17,7490.9725,0.711055766,189.4423351
4989,-4443,7295,12370,10037,10563,9175,0.73,1.17,7531.1905,0.712978368,170.2163211
4989,-4441,7338,12273,10054,10487,9176,0.73,1.17,7430.8845,0.708580576,214.1942405
4989,-4456,7210,12415,9969,10609,9176,0.72,1.17,7578.1915,0.714317231,56.82769347
4989,-4454,7259,12319,10043,10529,9173,0.72,1.17,7478.7115,0.710296467,97.03533099
4988,-4438,7316,12386,10039,10587,9166,0.73,1.17,7548.2345,0.712971994,170.2800605
4989,-4450,7234,12388,9977,10585,9158,0.73,1.17,7550.1475,0.713287435,167.1256495
4989,-4454,7353,12306,10099,10516,9154,0.73,1.17,7465.146,0.709884557,201.1544313
4988,-4453,7323,12366,10078,10557,9153,0.73,1.17,7526.9295,0.712979966,170.200341
4989,-4452,7328,12354,10082,10556,9154,0.73,1.17,7514.886,0.711906593,180.9340659
4988,-4465,7300,12424,10081,10613,9155,0.72,1.17,7587.3655,0.714912419,50.87581268
4989,-4460,7279,12365,10045,10567,9157,0.72,1.17,7526.3645,0.712251774,77.48225608
4988,-4438,7351,12229,10062,10455,9157,0.73,1.17,7385.4925,0.7064077,235.9230033
4989,-4459,7365,12295,10110,10499,9157,0.73,1.17,7453.4065,0.709915849,200.8415087
4989,-4461,7350,12313,10111,10521,9157,0.73,1.17,7472.3635,0.7102332,197.6679973
4989,-4470,7293,12424,10075,10617,9157,0.72,1.17,7587.5395,0.714659461,53.40538759
4989,-4468,7355,12108,10068,10338,9157,0.73,1.17,7259.403,0.702205746,277.9425421
4988,-4449,7379,12279,10128,10495,9157,0.73,1.17,7437.2325,0.708645307,213.5469271
4989,-4459,7351,12267,10090,10476,9157,0.73,1.17,7424.406,0.708706186,212.9381443
4988,-4456,7368,12110,10094,10338,9160,0.73,1.17,7261.403,0.702399207,276.0079319
4989,-4450,7359,12285,10103,10493,9166,0.73,1.17,7443.1455,0.709343896,206.5610407
4988,-4434,7376,12317,10094,10529,9171,0.73,1.17,7476.7115,0.710106515,198.9348466
4989,-4465,7356,12153,10077,10370,9174,0.73,1.17,7305.795,0.704512536,254.8746384
4988,-4441,7278,12307,10032,10516,9174,0.73,1.17,7466.146,0.70997965,200.2034994
4989,-4451,7370,12158,10100,10384,9175,0.73,1.17,7311.404,0.704102851,258.9714946
4989,-4468,7328,12401,10089,10599,9175,0.73,1.17,7563.7565,0.713629257,163.7074252
4989,-4467,7358,12383,10133,10582,9176,0.73,1.17,7545.017,0.71300482,169.951805
4989,-4455,7296,12406,10079,10595,9176,0.72,1.17,7568.5825,0.714354176,56.45823502
4989,-4466,7347,12352,10098,10552,9176,0.73,1.17,7512.712,0.711970432,180.2956785
4988,-4442,7349,12302,10077,10506,9173,0.73,1.17,7460.711,0.710138112,198.6188844
4989,-4459,7116,12387,9822,10581,9168,0.72,1.17,7548.9735,0.71344613,65.53870145
4988,-4485,7188,12360,9993,10568,9163,0.72,1.17,7521.408,0.711715367,82.84632854
4989,-4456,7271,12267,10018,10476,9163,0.73,1.17,7424.406,0.708706186,212.9381443
4989,-4458,7254,12372,10052,10574,9163,0.72,1.17,7533.669,0.712471061,75.28938907
4989,-4446,7345,12073,10059,10309,9168,0.73,1.17,7223.1415,0.700663643,293.3635658
4989,-4466,7218,11929,10007,10195,9173,0.72,1.17,7074.1825,0.693887445,261.1255517
4989,-4471,7235,12339,9934,10547,9177,0.73,1.17,7499.4945,0.711054755,189.4524509
4990,-4443,7271,12307,9986,10515,9178,0.73,1.17,7466.1025,0.710043034,199.5696624
4989,-4443,7343,12359,10105,10561,9178,0.73,1.17,7520.1035,0.712063583,179.3641701
4989,-4448,7333,12327,10057,10535,9177,0.73,1.17,7486.9725,0.71067608,193.2392027
4989,-4456,7397,12136,10128,10361,9176,0.73,1.17,7288.4035,0.703445951,265.5404884
4989,-4451,7362,12287,10083,10503,9176,0.73,1.17,7445.5805,0.708900362,210.996382
4989,-4458,7272,12420,10055,10613,9176,0.72,1.17,7583.3655,0.714535522,54.64477528
4990,-4471,7307,12400,10081,10593,9177,0.72,1.17,7562.4955,0.713914425,60.8557538
4989,-4482,7298,12342,10048,10548,9182,0.73,1.17,7502.538,0.711275882,187.2411832
4989,-4458,7321,12350,10059,10550,9187,0.73,1.17,7510.625,0.711907583,180.9241706
4990,-4470,7213,12384,9994,10583,9191,0.72,1.17,7546.0605,0.713036048,69.63951621
4989,-4436,7369,12333,10106,10540,9191,0.73,1.17,7493.19,0.710928843,190.711575
4990,-4471,7378,12091,10106,10324,9190,0.73,1.17,7241.794,0.701452344,285.4765595
4990,-4459,7302,12369,10056,10573,9185,0.73,1.17,7530.6255,0.712250591,177.4940887
4989,-4451,7365,12106,10084,10333,9181,0.73,1.17,7257.1855,0.70233093,276.6906997
4990,-4448,7376,12133,10102,10363,9178,0.73,1.17,7285.4905,0.703029094,269.7090611
4989,-4471,7294,12401,10051,10600,9177,0.73,1.17,7563.8,0.713566038,164.3396226
4990,-4443,7374,12128,10094,10349,9177,0.73,1.17,7279.8815,0.703438158,265.6184172
4989,-4443,7293,12346,9999,10553,9175,0.73,1.17,7506.7555,0.711338529,186.6147067
4990,-4455,7332,12402,10094,10596,9173,0.73,1.17,7564.626,0.713913364,160.8663647
4989,-4468,7283,12359,10063,10567,9172,0.72,1.17,7520.3645,0.711683969,83.1603104
4990,-4475,7343,12305,10065,10513,9172,0.73,1.17,7464.0155,0.709979597,200.2040331
4989,-4438,7370,12214,10108,10426,9171,0.73,1.17,7369.231,0.706812872,231.8712833
4990,-4476,7302,12422,10075,10618,9169,0.72,1.17,7585.583,0.714407892,55.92107742
4990,-4438,7346,12379,10114,10578,9167,0.73,1.17,7540.843,0.712879845,171.2015504
4990,-4436,7370,12395,10114,10596,9166,0.73,1.17,7557.626,0.713252737,167.4726312
4990,-4452,7374,12197,10107,10416,9166,0.73,1.17,7351.796,0.705817588,241.8241167
4990,-4452,7368,12069,10089,10300,9167,0.73,1.17,7218.75,0.700849515,291.5048544
4990,-4463,7372,12230,10089,10446,9167,0.73,1.17,7386.101,0.707074574,229.25426
4990,-4472,7338,12346,10090,10547,9168,0.73,1.17,7506.4945,0.711718451,182.8154926
4990,-4436,7343,12296,10082,10509,9169,0.73,1.17,7454.8415,0.709376867,206.2313255
4990,-4447,7322,12337,10070,10535,9168,0.73,1.17,7496.9725,0.711625297,183.7470337
4990,-4449,7322,12169,10043,10390,9171,0.73,1.17,7322.665,0.704780077,252.19923
4991,-4445,7331,12374,10083,10577,9174,0.73,1.17,7535.7995,0.712470407,175.2959251
4990,-4451,7322,12319,10093,10521,9177,0.73,1.17,7478.3635,0.710803488,191.9651174
4991,-4452,7195,12182,9851,10400,9178,0.73,1.17,7336.1,0.705394231,246.0576923
4990,-4459,7253,12417,10056,10618,9177,0.72,1.17,7580.583,0.713936994,60.63006216
4991,-4469,7293,12193,10045,10407,9170,0.73,1.17,7347.4045,0.706006006,239.9399443
4991,-4442,7328,12405,10050,10593,9161,0.73,1.17,7567.4955,0.714386434,156.1356556
4990,-4446,7365,12101,10089,10336,9152,0.73,1.17,7252.316,0.70165596,283.4404025
4990,-4450,7315,11891,10085,10162,9150,0.73,1.17,7034.747,0.692260087,377.399134
